# NAME: Simplex random graph using rudy library in python. Weights computed via the uniform distribution.
# COMMENT: Graph parameters: dim=6; seed=-1; sum=1 Weight distribution parameters: a=9.0; b=14.0; seed=1729.
# TYPE: Random Graphs
7 21
1 7 13.9818618839
1 6 13.4241004826
1 5 11.0539918729
1 4 11.288597456
1 3 12.3361720315
1 2 9.91259557262
2 7 10.4608794272
2 6 10.8154664663
2 5 13.335729863
2 4 10.0382566577
2 3 13.1449739375
3 7 9.78014600462
3 6 12.6540120672
3 5 11.4986300247
3 4 12.0666882342
4 7 10.8519397973
4 6 10.7737418316
4 5 12.4361717372
5 7 12.8068933565
5 6 12.1097936389
6 7 11.7436727368
