# NAME: p50
# COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm
14 63
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 11 1
4 5 1
4 6 1
4 7 1
4 8 1
4 10 1
4 12 1
5 6 1
5 9 1
5 11 1
5 13 1
5 14 1
6 11 1
6 12 1
6 13 1
6 14 1
7 9 1
7 10 1
7 12 1
7 13 1
7 14 1
8 10 1
8 11 1
8 12 1
8 13 1
8 14 1
9 11 1
9 12 1
9 13 1
9 14 1
10 11 1
10 12 1
10 13 1
10 14 1
11 12 1
11 13 1
11 14 1
12 13 1
12 14 1
13 14 1
