# NAME: Simplex random graph using rudy library in python. Weights computed via the log normal distribution.
# COMMENT: Graph parameters: dim=3; seed=-1; sum=3 Weight distribution parameters: mu=-14.3863239214; sigma=7.58486795343; seed=1729.
# TYPE: Random Graphs
20 60
1 11 6.6456250743e-08
1 5 8.09380783714e-06
1 2 8.09364938327e-09
2 12 0.000234746205985
2 11 9.0153624592e-05
2 6 0.000228679807783
2 5 5.87972800817e-06
2 3 1.34179642388e-09
3 13 0.00456307183041
3 12 1.63179016005e-06
3 7 0.208902481169
3 6 99704.3831419
3 4 0.00632740596629
4 13 0.434192795941
4 7 2.17243796757e-12
5 14 3.50950615749e-07
5 11 4.59707754178e-09
5 8 9.31406131518e-10
5 6 4.02263382599e-12
6 15 1.23876756691e-07
6 14 0.451315215038
6 12 1.83445370811e-14
6 9 0.0138911141161
6 8 5.2268868464e-08
6 7 1.54598303833e-05
7 15 4.98703986193e-11
7 13 2.23151642792e-11
7 9 0.000294029639569
8 16 2.64432816713e-07
8 14 6.968902302e-07
8 10 3.97983146829e-06
8 9 1.07080848966e-05
9 16 1.3009490378e-05
9 15 7.15519536069
9 10 6.22855516861e-12
10 16 7.59173694312e-12
11 17 1.49677722322e-08
11 14 2.24391792172e-11
11 12 0.00257721456558
12 18 6.11710455378e-07
12 17 1.66599503652e-09
12 15 2.46719113366e-10
12 14 0.0165920705841
12 13 0.00308554464394
13 18 0.0132893024433
13 15 0.00258166028152
14 19 1.68965764088e-10
14 17 6.88975261891
14 16 3.19611156031e-10
14 15 0.000159800782629
15 19 0.00053173888124
15 18 0.0893792158583
15 16 0.000157021397322
16 19 1.8432073176e-13
17 20 2.06655069651e-06
17 19 8.64451902356e-06
17 18 6.55256910486e-07
18 20 2.97019815334e-06
18 19 2.13069313157e-08
19 20 1.34522765745e-05
