# NAME: ramsey_4_4
# COMMENT: # http://www.dharwadker.org/vertex_coloring/ # ramsey graph R(4,4)# chromatic number 6 # maximum independent set 3
17 68
1 2 1
1 3 1
1 5 1
1 9 1
1 10 1
1 14 1
1 16 1
1 17 1
2 3 1
2 4 1
2 6 1
2 10 1
2 11 1
2 15 1
2 17 1
3 4 1
3 5 1
3 7 1
3 11 1
3 12 1
3 16 1
4 5 1
4 6 1
4 8 1
4 12 1
4 13 1
4 17 1
5 6 1
5 7 1
5 9 1
5 13 1
5 14 1
6 7 1
6 8 1
6 10 1
6 14 1
6 15 1
7 8 1
7 9 1
7 11 1
7 15 1
7 16 1
8 9 1
8 10 1
8 12 1
8 16 1
8 17 1
9 10 1
9 11 1
9 13 1
9 17 1
10 11 1
10 12 1
10 14 1
11 12 1
11 13 1
11 15 1
12 13 1
12 14 1
12 16 1
13 14 1
13 15 1
13 17 1
14 15 1
14 16 1
15 16 1
15 17 1
16 17 1
