stratum,target,rank,formula,touches,support
model=barabasi,optimal_gamma,1,((((56/15) · (mis)²) + (-4 · mis)) + (11/14)) ≤ optimal_gamma,0,279
model=barabasi,optimal_gamma,2,((((1/5) · (deg_mean)²) + -deg_mean) + (11/12)) ≤ optimal_gamma,0,279
model=barabasi,optimal_gamma,3,((((-5/8) · (clust_mean)²) + ((8/17) · clust_mean)) + (-5/19)) ≤ optimal_gamma,0,279
model=barabasi,optimal_gamma,4,optimal_gamma ≤ (22/7),0,279
model=barabasi,optimal_gamma,5,optimal_gamma ≤ ((((-5/8) · (clust_mean)²) + ((1/4) · clust_mean)) + (22/7)),0,279
model=barabasi,approx_ratio,1,(13/17) ≤ approx_ratio,0,279
model=barabasi,approx_ratio,2,(((1/7) · deg_mean) + (3/5)) ≤ approx_ratio,0,279
model=barabasi,approx_ratio,3,approx_ratio ≤ ((((16/19) · (assortativity)²) + ((8/11) · assortativity)) + (13/12)),0,279
model=barabasi,approx_ratio,4,approx_ratio ≤ (((-1/10) · deg_mean) + (17/15)),0,279
model=barabasi,approx_ratio,5,approx_ratio ≤ ((((-4/13) · (mis)²) + ((9/19) · mis)) + (13/16)),0,279
model=barabasi,mean_n_obj_calls,1,((((2/17) · (m)²) + (4 · m)) + 4) ≤ mean_n_obj_calls,0,279
model=barabasi,mean_n_obj_calls,2,((((5/3) · (n)²) + (4 · n)) + 4) ≤ mean_n_obj_calls,0,279
model=watts,optimal_gamma,1,(((4 · (clust_mean)²) + ((-1/7) · clust_mean)) + (-3/5)) ≤ optimal_gamma,0,269
model=watts,optimal_gamma,2,((((2/3) · (deg_mean)²) + ((-68/19) · deg_mean)) + 4) ≤ optimal_gamma,0,269
model=watts,optimal_gamma,3,(-5/12) ≤ optimal_gamma,0,269
model=watts,optimal_gamma,4,optimal_gamma ≤ ((((-16/17) · (clust_mean)²) + ((4/5) · clust_mean)) + 3),0,269
model=watts,optimal_gamma,5,optimal_gamma ≤ ((((-2/3) · (deg_mean)²) + (4 · deg_mean)) + (-23/10)),0,269
model=watts,approx_ratio,1,approx_ratio ≤ ((1/2) · deg_mean),3,269
model=watts,approx_ratio,2,approx_ratio ≤ 1,3,269
