features,det_rank,formula,is_true,accuracy,n_counterexamples,mean_slack,min_slack,n_terms
optimal_beta_abs+n,1,optimal_gamma <= (((-13119/34615 * optimal_beta_abs) + 4482731/945881) + (-78063/925360 * n)),True,1.0,0,0.95949797988534,1.757749501507533e-11,5
optimal_beta_abs+n,2,optimal_gamma >= (((156578/181933 * optimal_beta_abs) + 842804/915827) + (-22546/251207 * n)),True,1.0,0,1.9742416203363298,5.572431405198586e-12,5
optimal_beta_abs+n,3,optimal_gamma >= (((110149/156745 * optimal_beta_abs) + 345691/361818) + (-6395/112533 * n)),True,1.0,0,1.6799442046991773,1.7289725207092488e-11,5
optimal_beta_abs+n,4,optimal_gamma >= (((110149/156745 * optimal_beta_abs) + 737169/426332) + (-54469/354763 * n)),True,1.0,0,2.0219621750596426,3.055333763768431e-13,5
optimal_beta_abs+n,5,optimal_gamma <= (((1139842/129447 * optimal_beta_abs) + -449783/356829) + (138696/975983 * n)),True,1.0,0,4.591783680548456,6.483702463810914e-13,5
optimal_beta_abs+n,6,optimal_gamma <= (((328531/944791 * optimal_beta_abs) + 2092713/830428) + (13299/448531 * n)),True,1.0,0,0.6110178204315797,2.7915447731174936e-12,5
optimal_beta_abs+n,7,optimal_gamma <= ((109542/706597 * optimal_beta_abs) + 638537/219871),True,1.0,0,0.5057851126322717,2.5197621766892553e-12,3
optimal_beta_abs+n,8,optimal_gamma >= (((584289/955952 * optimal_beta_abs) + 570388/240599) + (-5905/26236 * n)),True,1.0,0,2.2755827818867393,4.5861980879635666e-11,5
optimal_beta_abs+n,9,optimal_gamma >= (((377563/734976 * optimal_beta_abs) + 2350913/984883) + (-193390/933759 * n)),True,1.0,0,2.126568339756562,1.4073187060148484e-12,5
optimal_beta_abs+n,10,optimal_gamma >= (((25795/367672 * optimal_beta_abs) + 2522429/908202) + (-10435/55316 * n)),True,1.0,0,1.862134769913005,1.056310594549359e-11,5
deg_mean+m,1,optimal_gamma >= (((-13193413/789926 * deg_mean) + -224394/586213) + (21848/141861 * m)),True,1.0,0,6.58704475239956,1.6075674125204387e-10,5
deg_mean+m,2,optimal_gamma >= (((-2269719/909148 * deg_mean) + 1142087/340019) + (-15125/752962 * m)),True,1.0,0,0.8499044464073615,1.2940759575030825e-12,5
deg_mean+m,3,optimal_gamma >= (((-1022487/486107 * deg_mean) + 2891003/914199) + (-15125/752962 * m)),True,1.0,0,0.8637440327985412,2.2950530365051236e-12,5
deg_mean+m,4,optimal_gamma >= (((-973949/392100 * deg_mean) + 3147091/957605) + (-13466/876645 * m)),True,1.0,0,0.7914398509177105,1.0619505275144547e-11,5
deg_mean+m,5,optimal_gamma >= (((-1527437/673245 * deg_mean) + 1933872/611533) + (-12176/858551 * m)),True,1.0,0,0.784322723688725,2.506728158380156e-11,5
deg_mean+m,6,optimal_gamma <= (((112765/84884 * deg_mean) + 4956229/735943) + (-83047/997753 * m)),True,1.0,0,2.63249335249221,4.677103149219874e-10,5
deg_mean+m,7,optimal_gamma <= (((11485037/631087 * deg_mean) + -712789/49342) + (434239/176118 * m)),True,1.0,0,56.7445564346222,3.19033688356285e-12,5
deg_mean+m,8,optimal_gamma >= (((1906811/809082 * deg_mean) + 1172251/746426) + (-84821/323888 * m)),True,1.0,0,6.7812830638697115,1.899813639738568e-12,5
deg_mean+m,9,optimal_gamma >= (((-16348683/873676 * deg_mean) + 773466/287767) + (90481/876932 * m)),True,1.0,0,5.79603801390159,4.2457148907715236e-11,5
deg_mean+m,10,optimal_gamma <= (((1114555/580053 * deg_mean) + 1666371/825500) + (5512/169875 * m)),True,1.0,0,1.253539010780366,1.5495160710088385e-11,5
