stratum,target,known_count,test_count,exact_matches,only_known,only_test,match_pct
model=barabasi,optimal_gamma,5,5,1,4,4,11.11111111111111
model=barabasi,approx_ratio,5,5,0,5,5,0.0
model=barabasi,mean_n_obj_calls,2,2,0,2,2,0.0
model=barabasi_size=large(n≤20),optimal_gamma,5,5,0,5,5,0.0
model=barabasi_size=large(n≤20),approx_ratio,5,5,0,5,5,0.0
model=barabasi_size=large(n≤20),mean_n_obj_calls,2,2,0,2,2,0.0
model=barabasi_size=medium(n≤15),optimal_gamma,5,5,0,5,5,0.0
model=barabasi_size=medium(n≤15),approx_ratio,5,5,0,5,5,0.0
model=barabasi_size=medium(n≤15),mean_n_obj_calls,1,2,0,1,2,0.0
model=barabasi_size=small(n≤10),optimal_gamma,5,5,0,5,5,0.0
model=barabasi_size=small(n≤10),approx_ratio,5,5,1,4,4,11.11111111111111
model=barabasi_size=small(n≤10),mean_n_obj_calls,0,0,0,0,0,0.0
model=gnm,optimal_gamma,5,5,0,5,5,0.0
model=gnm,approx_ratio,5,5,0,5,5,0.0
model=gnm,mean_n_obj_calls,3,3,1,2,2,20.0
model=gnm_size=large(n≤20),optimal_gamma,5,5,0,5,5,0.0
model=gnm_size=large(n≤20),approx_ratio,5,5,0,5,5,0.0
model=gnm_size=large(n≤20),mean_n_obj_calls,4,2,1,3,1,20.0
model=gnm_size=medium(n≤15),optimal_gamma,5,5,0,5,5,0.0
model=gnm_size=medium(n≤15),approx_ratio,5,5,0,5,5,0.0
model=gnm_size=medium(n≤15),mean_n_obj_calls,1,3,0,1,3,0.0
model=gnm_size=small(n≤10),optimal_gamma,5,5,0,5,5,0.0
model=gnm_size=small(n≤10),approx_ratio,5,5,0,5,5,0.0
model=gnm_size=small(n≤10),mean_n_obj_calls,3,3,1,2,2,20.0
model=regular,optimal_gamma,5,5,0,5,5,0.0
model=regular,approx_ratio,5,5,2,3,3,25.0
model=regular,mean_n_obj_calls,1,1,0,1,1,0.0
model=regular_size=large(n≤20),optimal_gamma,5,5,1,4,4,11.11111111111111
model=regular_size=large(n≤20),approx_ratio,5,5,2,3,3,25.0
model=regular_size=large(n≤20),mean_n_obj_calls,1,2,1,0,1,50.0
model=regular_size=medium(n≤15),optimal_gamma,5,5,1,4,4,11.11111111111111
model=regular_size=medium(n≤15),approx_ratio,5,5,2,3,3,25.0
model=regular_size=medium(n≤15),mean_n_obj_calls,2,1,0,2,1,0.0
model=regular_size=small(n≤10),optimal_gamma,5,5,0,5,5,0.0
model=regular_size=small(n≤10),approx_ratio,5,5,3,2,2,42.857142857142854
model=regular_size=small(n≤10),mean_n_obj_calls,2,2,1,1,1,33.33333333333333
model=watts,optimal_gamma,5,5,0,5,5,0.0
model=watts,approx_ratio,5,5,2,3,3,25.0
model=watts,mean_n_obj_calls,2,2,0,2,2,0.0
model=watts_size=large(n≤20),optimal_gamma,5,5,0,5,5,0.0
model=watts_size=large(n≤20),approx_ratio,5,5,1,4,4,11.11111111111111
model=watts_size=large(n≤20),mean_n_obj_calls,2,1,0,2,1,0.0
model=watts_size=medium(n≤15),optimal_gamma,5,5,1,4,4,11.11111111111111
model=watts_size=medium(n≤15),approx_ratio,5,5,0,5,5,0.0
model=watts_size=medium(n≤15),mean_n_obj_calls,3,2,0,3,2,0.0
model=watts_size=small(n≤10),optimal_gamma,5,5,2,3,3,25.0
model=watts_size=small(n≤10),approx_ratio,5,5,2,3,3,25.0
model=watts_size=small(n≤10),mean_n_obj_calls,0,2,0,0,2,0.0
size=large(n≤20),optimal_gamma,5,5,0,5,5,0.0
size=large(n≤20),approx_ratio,5,5,0,5,5,0.0
size=large(n≤20),mean_n_obj_calls,3,1,1,2,0,33.33333333333333
size=medium(n≤15),optimal_gamma,5,5,0,5,5,0.0
size=medium(n≤15),approx_ratio,5,5,0,5,5,0.0
size=medium(n≤15),mean_n_obj_calls,1,2,0,1,2,0.0
size=small(n≤10),optimal_gamma,5,5,3,2,2,42.857142857142854
size=small(n≤10),approx_ratio,5,5,1,4,4,11.11111111111111
size=small(n≤10),mean_n_obj_calls,0,3,0,0,3,0.0
