graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,exact_maxcut,n,m,deg_mean,clust_mean,mis,assortativity,approx_ratio
known,static_conjecture,barabasi_0,15.21948323195262,"[2.969072835632846, 2.842046309518766, 2.8084511711283486, 1.919136440824606, 3.0865492596481667, 2.0957309330361182, 1.9694347279994129, 1.823592666036216, 1.382433615145119, 1.69124924670931]",2.969072835632846,2.0957309330361182,"[1.61963948 1.61963948 1.61963948 1.61963948 1.61963948 1.12851846
 1.33732331 0.31306399 0.53164246 1.2874699 ]",1.6196394798172682,1.1285184573051712,5,12,20,4.7888147830963135,1,824.0,0.0,0.0,0,barabasi,18,12,20,3.3333,0.2312,0.5,-0.5142,0.84552684621959
known,static_conjecture,watts_1,27.88824656612983,"[2.9779300484243176, 2.7263192083504753, 1.6515585334362042, 2.1490074672140302, 1.5764208606544292, 0.4828758396343337, 2.6416484316098656, 0.7802856123459994, 2.3452474704645088, 0.7818441333980161]",2.9779300484243176,0.4828758396343337,"[1.67125087 1.67125087 1.67125087 1.67125087 1.67125087 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.671250872249442,0.8620742360644783,5,20,40,8.722709655761719,1,702.0,0.0,0.0,1,watts,31,20,40,4.0,0.2867,0.35,-0.1185,0.89962085697193
known,static_conjecture,barabasi_2,10.39487666535396,"[2.7959912796558894, 2.156225445264869, 1.1000088663150667, 2.646897303371012, 0.5527565570805504, -0.3599466492080753, 3.115638015821556, 2.5804732267829276, 1.8739049480903052, 1.3344857876236556]",2.795991279655889,-0.3599466492080753,"[1.56055227 1.56055227 1.56055227 1.56055227 1.56055227 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5605522682445758,0.8620742360644783,5,13,12,2.6907284259796143,1,1005.0,0.0,0.0,2,barabasi,12,13,12,1.8462,0.0,0.6923,-0.7216,0.8662397221128301
known,static_conjecture,watts_3,14.221115176219882,"[2.740444687923837, 1.7705851417141254, 1.521139549582755, 1.526029989698919, 0.9376034358687799, -0.3969116694139746, 1.9333373852367823, 2.4929993586093273, 2.813124392984238, 1.8057450621310236]",2.740444687923837,-0.3969116694139746,"[1.57079633 1.57079633 1.57079633 1.57079633 1.57079633 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5707963267948966,0.8620742360644783,5,17,17,6.232355117797852,1,1806.0,0.0,0.0,3,watts,17,17,17,2.0,0.0,0.4706,-0.2042,0.8365361868364637
known,static_conjecture,gnm_4,76.67360089032978,"[2.1672930554347074, 2.6900973992274797, 2.414830095809903, 3.1408036689198875, 2.9655297316968108, 1.5738718927972024, 1.1201961260599707, 0.6417143064416435, 0.9177761159160552, 0.03260250332321923]",2.1672930554347074,1.5738718927972024,"[2.55298799 2.55298799 2.55298799 2.55298799 2.55298799 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.552987988926838,0.8620742360644783,5,19,149,22.981945276260376,1,623.0,0.0,0.0,4,gnm,86,19,149,15.6842,0.8678,0.1579,-0.0967,0.8915534987247649
known,static_conjecture,watts_5,8.256534948921935,"[1.465959672151779, 1.325472271680931, 0.778363287245565, 3.1398508802779057, 1.7784363722358183, 1.8462092153666818, 2.097614455669988, 1.2401195397707698, 1.9121401139959624, 0.2937904211540021]",1.465959672151779,1.8462092153666816,"[1.46995192 1.46995192 1.46995192 1.46995192 1.46995192 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.4699519230769231,0.8620742360644783,5,10,10,3.162087917327881,1,1422.0,0.0,0.0,5,watts,10,10,10,2.0,0.0,0.5,-0.0526,0.8256534948921935
known,static_conjecture,watts_6,25.236381312992226,"[1.5973850351033059, 2.8172349333766675, 1.5371131546621652, 1.5980324816774911, 1.6531296793625525, 1.2862371591739965, 1.8863487534115264, 1.0936190563490285, 1.2502600049105967, 0.8326104401271572]",1.597385035103306,1.2862371591739965,"[1.60794062 1.60794062 1.60794062 1.60794062 1.60794062 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.6079406229419628,0.8620742360644783,5,19,38,6.156583309173584,1,963.0,0.0,0.0,6,watts,29,19,38,4.0,0.3772,0.3684,-0.0133,0.8702200452755939
known,static_conjecture,barabasi_7,10.090427009059866,"[1.817750839047033, 0.9311461524889115, 1.6556720335167703, 2.549799708679121, 1.603669392451163, 0.21013926016364437, 2.697890930822879, 0.781412449491695, 2.13874305062992, 0.7582812622716503]",1.817750839047033,0.2101392601636443,"[1.55029586 1.55029586 1.55029586 1.55029586 1.55029586 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5502958579881656,0.8620742360644783,5,13,12,2.800971031188965,1,975.0,0.0,0.0,7,barabasi,12,13,12,1.8462,0.0,0.6154,-0.5195,0.8408689174216555
known,static_conjecture,watts_8,10.400611753522751,"[1.5135342449826465, 1.8148950884688737, 3.1412673853084296, 2.7801249273741537, 0.7548664301048464, 1.4672158278089664, 2.9219333562381564, 1.3774811779126144, 1.5688916668156083, 1.3360092703449102]",1.5135342449826463,1.4672158278089664,"[1.8668712  1.8668712  1.8668712  1.8668712  1.8668712  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8668712044534412,0.8620742360644783,5,8,16,5.230578184127808,1,1568.0,0.0,0.0,8,watts,12,8,16,4.0,0.6375,0.25,-0.0833,0.866717646126896
known,static_conjecture,barabasi_9,25.900884806321216,"[2.941137731977517, 3.1188783889553946, 1.8915459656202576, 1.7899813812697676, 1.8303463616513194, 0.20402357306468918, 3.1393175976169716, 1.3366240166679337, 1.2918243120204411, 1.4142379501542532]",2.941137731977517,0.2040235730646891,"[1.72117939 1.72117939 1.72117939 1.72117939 1.72117939 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.7211793934240365,0.8620742360644783,5,20,36,10.851927042007446,1,882.0,0.0,0.0,9,barabasi,30,20,36,3.6,0.0651,0.4,-0.4045,0.8633628268773739
