graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
known,static_conjecture,barabasi_457,13.91232655731329,"[1.6895375584816636, 1.876484217514271, 1.883708722603211, 1.827257877670689, 2.127869292956957, 0.44462272619602367, -0.33728250464127396, 1.8268783075599935, 1.3902356736935586, 1.656536623720842]",1.6895375584816636,0.44462272619602367,"[1.93398431 1.93398431 1.93398431 1.93398431 1.93398431 0.72080711
 0.07118902 0.12350619 1.23570971 1.4231607 ]",1.9339843067351719,0.7208071062769887,5,17,16,8.773018598556519,1,1244.0,0.0,0.0,457,barabasi
known,static_conjecture,regular_458,24.076645189677308,"[2.810139054989749, 1.7592322943691936, 2.93325817972392, 3.0192117487781114, 1.747416876010095, 1.3411808523624735, 2.20604845162654, 0.47790613040999386, 1.834277072193938, 1.080450540576363]",2.810139054989749,1.3411808523624735,"[3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",3.141592653589793,0.8620742360644783,5,16,32,17.467599868774414,1,1223.0,0.0,0.0,458,regular
known,static_conjecture,barabasi_459,24.797338404426398,"[1.4838917843739345, 1.4690994496832845, 1.7609797377922398, 2.9780268042333042, 1.196493105909204, 1.4756483430633007, 2.0084756509669734, 1.5962637796999366, 1.5849152471068364, 0.2611483924891488]",1.4838917843739345,1.4756483430633007,"[1.561875   1.561875   1.561875   1.561875   1.561875   0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5618750000000001,0.8620742360644783,5,20,36,15.290733575820923,1,994.0,0.0,0.0,459,barabasi
known,static_conjecture,watts_460,12.047995108738007,"[1.7790277314031337, 2.7061555792349097, 1.463879630643759, 1.6313115316533189, 1.6171978356077075, 1.3948601808345713, 3.1373739446599584, 2.771072964086652, 1.4748743105956048, 0.7536196271983715]",1.7790277314031337,1.3948601808345713,"[1.63924033 1.63924033 1.63924033 1.63924033 1.63924033 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.6392403283850654,0.8620742360644783,5,9,18,8.047402620315552,1,1458.0,0.0,0.0,460,watts
known,static_conjecture,regular_461,6.749807040414453,"[2.7488358126142973, 3.141576780978151, 3.1415476908714908, 3.1415769079938025, 3.1415880634439404, 1.4670233358558837, 2.9890726809047585, 2.400228573609578, 1.794221196444707, 1.1669844108756435]",2.7488358126142973,1.4670233358558837,"[1.29838057 1.29838057 1.29838057 1.29838057 1.29838057 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.2983805668016197,0.8620742360644783,5,9,9,3.8779361248016357,1,625.0,0.0,0.0,461,regular
known,static_conjecture,regular_462,20.7007166704709,"[2.987560799232246, 1.8061019071492228, 2.432996699471591, 1.5967380565332903, 1.6819320446727195, 0.6186286277312314, 3.1015122162703967, 3.1070038903117547, 2.8181174465376264, 0.6877489744998535]",2.987560799232246,0.6186286277312314,"[1.97142857 1.97142857 1.97142857 1.97142857 1.97142857 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.971428571428571,0.8620742360644783,5,14,28,25.595418691635132,1,1601.0,0.0,0.0,462,regular
known,static_conjecture,gnm_463,13.411798549889056,"[2.1598345853242042, 2.3522099333838065, 1.9474705565867119, 1.3984824603997936, 2.08854098004899, -0.0029761817610221555, 3.1402466732311813, 1.13041262067095, 3.1359337140992296, 1.3299024256122358]",2.1598345853242042,-0.0029761817610221555,"[2.1422249  2.1422249  2.1422249  2.1422249  2.1422249  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.1422248982234677,0.8620742360644783,5,10,20,16.537532091140747,1,1654.0,0.0,0.0,463,gnm
known,static_conjecture,gnm_464,16.838612077069158,"[2.9921661334489453, 2.6449122380623513, 3.03099334382348, 1.8928714885695612, 2.007960548740499, 0.5443766980082896, 3.1415735391673865, 3.1414497264319348, 2.941680686855702, 1.3613456786344784]",2.9921661334489453,0.5443766980082896,"[2.1422249  2.1422249  2.1422249  2.1422249  2.1422249  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.1422248982234677,0.8620742360644783,5,10,27,18.824952363967896,1,1273.0,0.0,0.0,464,gnm
known,static_conjecture,gnm_465,7.652033656845759,"[2.7904633309934495, 2.097717551697152, 2.641045563067115, 1.8157744954645518, 1.652393003766206, 0.966247282531538, 3.1155161460069722, 1.0617458247184857, 2.5965916256369628, 1.93188405720732]",2.7904633309934495,0.966247282531538,"[1.96365347 1.96365347 1.96365347 1.96365347 1.96365347 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.9636534696520394,0.8620742360644783,5,9,10,5.300182342529297,1,751.0,0.0,0.0,465,gnm
known,static_conjecture,regular_466,15.696356544815249,"[3.124618533617027, 2.0169583039359087, 3.1218272312121593, 2.762094839652346, 0.9619863511432976, 1.3240479263609337, 2.601320335805033, 1.103044970930371, 1.9888817927153322, 1.150561671871034]",3.124618533617027,1.3240479263609337,"[3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",3.141592653589793,0.8620742360644783,5,18,18,6.54592490196228,1,950.0,0.0,0.0,466,regular
