graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut
0,barabasi,12,20,3.3333,1.8856,0.2312,-0.5142,0.5,18
1,watts,20,40,4.0,0.9487,0.2867,-0.1185,0.35,31
2,barabasi,13,12,1.8462,1.4058,0.0,-0.7216,0.6923,12
3,watts,17,17,2.0,0.9075,0.0,-0.2042,0.4706,17
4,gnm,19,149,15.6842,1.1722,0.8678,-0.0967,0.1579,86
5,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,10
6,watts,19,38,4.0,0.4588,0.3772,-0.0133,0.3684,29
7,barabasi,13,12,1.8462,1.2308,0.0,-0.5195,0.6154,12
8,watts,8,16,4.0,1.0,0.6375,-0.0833,0.25,12
9,barabasi,20,36,3.6,2.1541,0.0651,-0.4045,0.4,30
10,gnm,11,31,5.6364,1.2264,0.484,-0.0896,0.2727,23
11,barabasi,8,7,1.75,1.299,0.0,-0.5867,0.625,7
12,barabasi,16,15,1.875,1.317,0.0,-0.2698,0.625,15
13,watts,14,28,4.0,1.0,0.3714,-0.2473,0.3571,21
14,watts,15,15,2.0,0.8165,0.1111,-0.1471,0.4667,14
15,regular,12,24,4.0,0.0,0.3333,,0.3333,18
16,barabasi,19,18,1.8947,1.8323,0.0,-0.4088,0.6316,18
17,gnm,15,89,11.8667,1.2037,0.8384,-0.0595,0.2,54
18,gnm,18,125,13.8889,1.7603,0.8283,-0.1312,0.1667,75
19,watts,17,17,2.0,0.8402,0.0,-0.242,0.5294,16
20,barabasi,14,24,3.4286,2.0603,0.6996,-0.3958,0.4286,18
21,gnm,6,7,2.3333,0.9428,0.25,-0.5556,0.5,6
22,watts,12,24,4.0,0.7071,0.3889,-0.2043,0.3333,19
23,watts,15,30,4.0,1.2111,0.2429,-0.27,0.4,25
24,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,9
25,barabasi,9,8,1.7778,1.2273,0.0,-0.5748,0.5556,8
26,regular,20,20,2.0,0.0,0.0,,0.45,20
27,gnm,18,133,14.7778,1.4741,0.8719,-0.1253,0.1667,78
28,barabasi,19,34,3.5789,2.4776,0.4164,-0.3501,0.4211,27
29,watts,7,14,4.0,0.7559,0.6238,-0.1667,0.2857,10
30,barabasi,12,11,1.8333,1.2802,0.0,-0.3484,0.5,11
31,gnm,10,21,4.2,1.077,0.5267,-0.3835,0.4,15
32,gnm,7,17,4.8571,0.6389,0.7714,-0.2966,0.2857,12
33,barabasi,16,39,4.875,2.3684,0.3637,-0.3335,0.375,32
34,watts,19,38,4.0,1.0761,0.2188,-0.1844,0.4211,30
35,barabasi,13,12,1.8462,2.1428,0.0,-0.6763,0.6923,12
36,barabasi,9,8,1.7778,1.5476,0.0,-0.6391,0.6667,8
37,watts,15,15,2.0,0.0,0.0,,0.4667,14
38,barabasi,7,6,1.7143,0.6999,0.0,-0.6667,0.4286,6
39,barabasi,16,15,1.875,1.4524,0.0,-0.5882,0.6875,15
40,barabasi,20,64,6.4,2.8,0.3732,-0.3084,0.4,47
41,regular,16,24,3.0,0.0,0.0,,0.375,22
42,gnm,19,87,9.1579,2.0069,0.5053,-0.0565,0.2105,58
43,watts,9,9,2.0,0.6667,0.1852,0.1562,0.4444,8
44,barabasi,8,7,1.75,1.0897,0.0,-0.5867,0.625,7
45,regular,6,9,3.0,0.0,0.3333,,0.3333,7
46,barabasi,15,14,1.8667,1.5434,0.0,-0.4818,0.6667,14
47,watts,8,8,2.0,0.5,0.2917,-0.0667,0.375,7
48,barabasi,17,42,4.9412,2.6451,0.5312,-0.3646,0.4118,32
49,barabasi,8,7,1.75,1.0897,0.0,-0.4933,0.625,7
50,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,10
51,regular,14,14,2.0,0.0,0.0,,0.4286,14
52,barabasi,12,20,3.3333,1.4907,0.3139,-0.3137,0.4167,17
53,barabasi,12,11,1.8333,1.1426,0.0,-0.2974,0.5,11
54,gnm,6,7,2.3333,0.4714,0.2778,-0.1667,0.5,6
55,barabasi,16,28,3.5,1.9039,0.3049,-0.3503,0.5,23
56,watts,8,16,4.0,0.7071,0.4667,-0.1613,0.25,13
57,barabasi,20,51,5.1,2.5671,0.3382,-0.4138,0.35,39
58,barabasi,18,17,1.8889,1.2862,0.0,-0.2413,0.5556,17
59,gnm,14,36,5.1429,1.1867,0.3588,-0.1163,0.2857,27
60,gnm,10,32,6.4,1.0198,0.6717,-0.1513,0.3,22
61,barabasi,7,6,1.7143,1.3851,0.0,-0.776,0.7143,6
62,watts,15,30,4.0,1.3663,0.4206,-0.1709,0.4,22
63,watts,7,14,4.0,0.7559,0.5714,-0.4259,0.4286,10
64,gnm,6,10,3.3333,0.7454,0.6667,-0.3333,0.3333,7
65,barabasi,11,10,1.8182,1.4659,0.0,-0.4651,0.5455,10
66,regular,12,24,4.0,0.0,0.375,,0.3333,18
67,watts,10,20,4.0,0.6325,0.4733,-0.0256,0.4,15
68,gnm,20,47,4.7,1.7059,0.2011,-0.2134,0.4,40
69,barabasi,6,5,1.6667,1.1055,0.0,-0.7391,0.6667,5
70,regular,20,20,2.0,0.0,0.0,,0.4,20
71,watts,7,14,4.0,1.069,0.7333,-0.4,0.2857,10
72,watts,7,7,2.0,1.069,0.0,-0.6066,0.5714,7
73,watts,11,11,2.0,0.4264,0.0,-0.0476,0.5455,11
74,regular,7,14,4.0,0.0,0.4286,,0.4286,12
75,gnm,17,60,7.0588,1.7311,0.4232,-0.2078,0.2353,43
76,regular,16,16,2.0,0.0,0.0,,0.4375,16
77,barabasi,10,9,1.8,0.9798,0.0,-0.2727,0.5,9
78,barabasi,17,42,4.9412,2.6002,0.3522,-0.2744,0.3529,34
79,barabasi,13,12,1.8462,1.657,0.0,-0.5339,0.5385,12
80,gnm,6,7,2.3333,0.4714,0.0,-0.75,0.5,6
81,gnm,7,16,4.5714,0.9035,0.7571,-0.25,0.2857,11
82,barabasi,7,6,1.7143,1.0302,0.0,-0.5,0.5714,6
83,watts,19,38,4.0,0.6489,0.386,-0.027,0.3158,30
84,watts,7,14,4.0,1.3093,0.8095,-0.4933,0.4286,10
85,regular,14,14,2.0,0.0,0.0,,0.4286,14
86,barabasi,20,19,1.9,1.7,0.0,-0.5188,0.6,19
87,watts,13,13,2.0,0.5547,0.0,0.1875,0.4615,12
88,regular,20,30,3.0,0.0,0.05,,0.4,27
89,watts,14,14,2.0,0.378,0.0,-0.037,0.5,14
90,gnm,16,93,11.625,1.2183,0.7547,-0.1393,0.1875,57
91,regular,6,6,2.0,0.0,0.0,,0.5,6
92,regular,8,16,4.0,0.0,0.5,,0.25,12
93,barabasi,12,20,3.3333,2.3921,0.7497,-0.4221,0.4167,15
94,gnm,18,107,11.8889,1.8526,0.6822,-0.2576,0.2222,70
95,gnm,12,29,4.8333,1.3437,0.3778,-0.1763,0.3333,22
96,watts,17,34,4.0,0.8402,0.2196,-0.1179,0.3529,28
97,barabasi,10,9,1.8,0.9798,0.0,-0.2727,0.6,9
98,watts,7,14,4.0,0.9258,0.719,-0.1966,0.2857,10
99,gnm,13,29,4.4615,1.9061,0.4447,-0.4078,0.3846,21
100,watts,20,40,4.0,0.6325,0.3283,-0.1538,0.3,31
101,gnm,19,90,9.4737,1.7582,0.5577,-0.1775,0.2105,59
102,gnm,11,18,3.2727,1.3545,0.3606,-0.3962,0.3636,15
103,barabasi,10,9,1.8,1.4697,0.0,-0.5,0.6,9
104,regular,8,16,4.0,0.0,0.4375,,0.25,12
