graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
barabasi_0,14.308232158334638,"[2.8187109810518325, 1.923273289238735, 1.7962207550662608, 1.8205180199231106, 0.8371274598983325, 0.13574845381895112, 1.477577976586662, 2.8831139842120987, 3.119430306501691, 1.7636837183119356]",2.8187109810518325,0.13574845381895112,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,12,20,5.818973779678345,1,1466.0,0.0,0.0,0,barabasi
watts_1,27.81041949001023,"[2.9751011490554533, 3.1391957105987167, 2.6731286386179214, 1.6070994639644542, 1.6331528155195278, 0.6841357080111085, 1.391283495800455, 2.795461563586752, 3.137423462777827, 2.1822555122006935]",2.9751011490554533,0.6841357080111085,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,20,40,8.999577045440674,1,826.0,0.0,0.0,1,watts
barabasi_2,10.467927525973566,"[2.3947170513332905, 2.2669899579134127, 1.4137613171429144, 0.6860594709049351, 1.94306316083884, 1.4601453802059257, 1.3109149111033398, 1.9594263898202826, 1.2747671450387639, 0.17306328863087136]",2.3947170513332905,1.4601453802059257,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,13,12,2.6318652629852295,1,1054.0,0.0,0.0,2,barabasi
watts_3,14.584437256059852,"[2.880984493677421, 2.6792209194625247, 2.52275063648239, 1.2999676911118967, 1.9091163791735533, 2.1477279494023165, 0.3715472398964069, 2.9417727436913435, 3.086167855255223, 1.9725088856478128]",2.880984493677421,2.1477279494023165,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,17,17,7.598620891571045,1,1625.0,0.0,0.0,3,watts
gnm_4,74.99266518034155,"[2.7206721345798126, 2.115293941379858, 2.2364553647871723, 1.8967982797773129, 0.7857116375412623, 0.6969027906986783, 0.794922111253471, 2.7914796728233857, 3.140960116235446, 1.5362762311583111]",2.7206721345798126,0.6969027906986783,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,19,149,19.017816305160522,1,637.0,0.0,0.0,4,gnm
watts_5,8.567371733190463,"[2.7866196530427585, 1.3423290187737182, 2.933116952000365, 2.150888480909785, 0.6977352129123752, 0.3198267824245836, 1.4613906659734561, 1.8785260284574896, 2.9197488349215024, 1.119370465495306]",2.7866196530427585,0.3198267824245836,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,10,10,2.912886619567871,1,1585.0,0.0,0.0,5,watts
watts_6,25.03648963909618,"[1.1756154110988304, 2.1935571803799627, 2.617431239297617, 1.9838872706995367, 2.5740290978690457, 1.6162188269935935, 1.3522631421566558, 1.7696099170013566, 1.5487003820892573, -0.00585154397404369]",1.1756154110988304,1.6162188269935935,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,19,38,6.453138113021851,1,831.0,0.0,0.0,6,watts
barabasi_7,10.068711909748664,"[-0.2646301011314006, 2.0307964351903607, 3.089729447251729, 2.156299677774525, 2.9740286719880653, 1.9260058776058788, 1.755978393435993, 3.13320978710792, 2.98745658825059, 1.4765095534491635]",-0.2646301011314006,1.9260058776058788,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,13,12,0.49944067001342773,1,1279.0,0.0,0.0,7,barabasi
watts_8,10.020232605785168,"[2.431548412470949, 2.3813423573632555, -0.19675241274057897, 1.9704521741735281, 1.5150070181731934, 1.5987373857511775, 0.5869568404547794, 2.9607643744576393, 2.8183703367496475, 1.2953250792184368]",2.431548412470949,1.5987373857511775,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,8,16,3.2906854152679443,1,1249.0,0.0,0.0,8,watts
barabasi_9,26.505108335343486,"[1.4177446391600483, 2.0075858197304197, 3.0379648607173193, 3.1001589477219156, 0.375069953040909, 1.7208969462381005, 1.7794136411959354, 2.168432598391523, 1.8984701074653216, 1.3636127922998216]",1.4177446391600483,1.7208969462381005,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,20,36,10.98490285873413,1,1078.0,0.0,0.0,9,barabasi
gnm_10,20.36497851865265,"[2.8632639579775256, 1.9591676750305203, 1.6787862783412097, 1.6250652678380033, 1.7910081537024536, 1.6770226952905283, 1.6756477176122482, 2.7810682034868037, 3.060386993283439, 1.3297236239352943]",2.8632639579775256,1.6770226952905283,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,11,31,5.353657960891724,1,1156.0,0.0,0.0,10,gnm
barabasi_11,5.965153895952994,"[2.5305835137192574, 1.860661658352905, 2.47526400815358, 1.9888213766520442, 1.2422728799043683, 0.867092588637023, -0.10187428475786994, 2.965581471968286, 2.610852191054097, 1.3873340728576165]",2.5305835137192574,0.867092588637023,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,8,7,2.942211866378784,1,1660.0,0.0,0.0,11,barabasi
barabasi_12,12.807882382049076,"[2.931933600760331, 3.0146607281441042, 3.1410040557056025, 0.9047449137298027, 1.602775725153399, 0.2948994513652252, 3.1412540778763565, 1.723897697144543, 2.8976965338996568, 1.8553111338708144]",2.931933600760331,0.2948994513652252,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,16,15,6.919360399246216,1,1879.0,0.0,0.0,12,barabasi
watts_13,19.321899615937266,"[2.9664848278772102, 2.7805807354868888, 3.1365267807582313, 1.1248349872340717, 2.5917235207361555, 2.085092375831958, 0.45355403543583006, 2.9060270767982193, 3.049825182053323, 1.4231023059882943]",2.9664848278772102,2.085092375831958,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,14,28,8.893784284591675,1,1899.0,0.0,0.0,13,watts
