graphname,p,restart_idx,gamma1,beta1,final_expectation,n_obj_calls
g000888,1,0,3.141592653589793,2.6942131564554623,-31.500007263559382,8
g000888,1,1,1.716388279035351,1.8307147900471934,-35.18284379056212,93
g000888,1,2,2.996157383777174,0.260306531327851,-35.18286016342549,74
g000888,1,3,3.141592653589793,2.9123724894905063,-31.500010135663615,11
g000888,1,4,3.141592653589793,2.9637911736183025,-31.500013428641978,8
g000888,1,5,0.1458857707851691,2.8810400278257053,-35.182883368165704,94
g000888,1,6,2.995853020602996,0.2607147015897261,-35.1828622103948,63
g000888,1,7,0.14598006005648503,2.8804185530616544,-35.18284732444488,81
g000888,1,8,1.9983970358343974,3.141592653589793,-31.500108746113256,14
g000888,1,9,-0.7528067977629231,3.141592653589793,-31.500098734992207,22
g000888,1,10,2.9958189441933794,1.8318934991836169,-35.182892612655735,110
g000888,1,11,3.141592653589793,3.141592653589793,-31.49999248981476,8
g000888,1,12,1.7164198651457117,-1.310080962210028,-35.18284335189179,70
g000888,1,13,2.9958807430239904,1.83160283401764,-35.18287077413723,85
g000888,1,14,3.141592653589793,3.141592653589793,-31.49999248981476,11
g000888,1,15,2.995880841808141,0.260769276519042,-35.182876433478555,69
g000888,1,16,0.7014896138808947,0.8217830549859264,-31.20038333767839,3
g000888,1,17,1.716806241464978,1.8311078178204543,-35.18284463180518,73
g000888,1,18,1.4245093303162983,1.3098954731014918,-35.182843061855095,72
g000888,1,19,0.14617288491136837,1.3099450146238407,-35.182842469662944,69
g000888,1,20,3.141592653589793,2.8292290221317837,-31.500010939213098,8
g000888,1,21,1.7159084214664921,0.25994869280541794,-35.182792898441505,66
g000888,1,22,3.141592653589793,1.5420210059020096,-31.500018027716578,9
g000888,1,23,3.141592653589793,3.0582817064793373,-31.50000819842535,14
g000888,1,24,2.995921198480705,1.831488149004941,-35.18285118153432,88
g000888,1,25,1.509524420587462,3.141592653589793,-31.499976661889377,9
g000888,1,26,1.4255112627396953,1.3091470857908525,-35.18279056055886,63
g000888,1,27,1.7167623818004838,1.8310592715841159,-35.18285037948894,61
g000888,1,28,2.3456611000338587,-0.013173094095645384,-31.500103377391497,66
g000888,1,29,2.995895694697186,0.2608728026658108,-35.18287414053978,100
g000888,1,30,2.9951715485388632,0.26017980730147405,-35.1828424189836,118
g000888,1,31,3.141592653589793,3.125140748033516,-31.500009201114153,8
g000888,1,32,3.141592653589793,3.141592653589793,-31.49999248981476,8
g000888,1,33,0.7807175907010356,0.7068197385345765,-31.498943592807784,3
g000888,1,34,0.14487114247228988,1.3106623548440868,-35.18276947986956,100
g000888,1,35,2.995586360085405,0.26080235141272884,-35.1828788583409,106
g000888,1,36,2.4431621491674784,-0.0006423179774802594,-31.500112245732453,35
g000888,1,37,3.141592653589793,3.141592653589793,-31.49999248981476,8
g000888,1,38,1.7154959630421405,1.832322155059171,-35.18272340179345,51
g000888,1,39,3.141592653589793,3.0622277848370594,-31.500004027137038,8
g000888,2,0,3.141592653589793,2.9903949944449586,-31.500128277580792,206
g000888,2,1,2.995873528082355,-1.8206139320066486,-35.18288094612549,191
g000888,2,2,-0.12515715661122084,1.9643293387586875,-37.45930540337079,251
g000888,2,3,1.380437569732241,2.0644393959052856,-36.53999511226691,318
g000888,2,4,3.016230775818144,1.9637874570263418,-37.45931338466011,225
g000888,2,5,0.19066812773461486,0.49050726686099544,-36.540043060836595,353
g000888,2,6,1.925673770051381,3.141592653589793,-31.50010298485722,225
g000888,2,7,3.013834741973673,1.9636341016980252,-37.45785182888897,345
g000888,2,8,2.438552455217348,3.067697294357322,-31.53579688158897,191
g000888,2,9,1.7614547173539101,1.0827854376477206,-36.539981777485096,352
