graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut,approx_ratio
barabasi_0,13.764746533102045,"[0.22402933434946987, 2.6098924381393456, 2.9124509702679044, 1.8402050946572768]",0.2240293343494698,2.9124509702679044,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,12,20,1.0189766883850098,1,304.0,0.0,0.0,0,barabasi,12,20,3.3333,1.8856,0.2312,-0.5142,0.5,18,0.7647081407278914
watts_1,20.65526056023804,"[1.8656500290660243, 2.703511101779201, 2.8368796942851575, 2.1133629451344413]",1.8656500290660245,2.836879694285157,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,20,40,2.23126482963562,1,283.0,0.0,0.0,1,watts,20,40,4.0,0.9487,0.2867,-0.1185,0.35,31,0.6662987277496142
barabasi_2,8.606984029582375,"[-0.3961213435733056, 3.1354407357931544, 3.141592653589793, 1.9635312885746097]",-0.3961213435733056,3.141592653589793,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,13,12,0.2170736789703369,1,112.0,0.0,0.0,2,barabasi,13,12,1.8462,1.4058,0.0,-0.7216,0.6923,12,0.7172486691318646
watts_3,13.267087834012914,"[0.484917945544162, 2.9320953960614013, 1.9140686768780129, 0.8380075526777503]",0.484917945544162,1.9140686768780129,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,17,17,0.410778284072876,1,172.0,0.0,0.0,3,watts,17,17,2.0,0.9075,0.0,-0.2042,0.4706,17,0.7804169314125243
gnm_4,76.66245240320397,"[2.1030257407381368, 2.467538548172608, -0.0007533648735729606, 2.019038031057713]",2.1030257407381368,-0.0007533648735729,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,19,149,4.163230657577515,1,229.0,0.0,0.0,4,gnm,19,149,15.6842,1.1722,0.8678,-0.0967,0.1579,86,0.8914238651535346
watts_5,8.154720728462115,"[0.5890626181763564, 2.8571698489881308, 1.896351056464203, 0.8926558729107663]",0.5890626181763564,1.896351056464203,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,10,10,0.5382795333862305,1,351.0,0.0,0.0,5,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,10,0.8154720728462115
watts_6,25.32609111250041,"[2.9518074806762487, 2.747127084728737, 2.011562556094462, 1.799172734276189]",2.9518074806762487,2.011562556094462,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,19,38,1.2190968990325928,1,246.0,0.0,0.0,6,watts,19,38,4.0,0.4588,0.3772,-0.0133,0.3684,29,0.8733134866379452
barabasi_7,9.086027417241818,"[0.43420056654473804, 2.9902504522761184, 1.9199110500023724, 2.3920591674887035]",0.434200566544738,1.9199110500023724,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,13,12,0.3908681869506836,1,204.0,0.0,0.0,7,barabasi,13,12,1.8462,1.2308,0.0,-0.5195,0.6154,12,0.7571689514368182
watts_8,8.731101512210444,"[1.8102107526689502, 2.7386032636716156, 2.8420028939771127, 2.227733206206839]",1.8102107526689504,2.8420028939771127,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,8,16,0.2305774688720703,1,134.0,0.0,0.0,8,watts,8,16,4.0,1.0,0.6375,-0.0833,0.25,12,0.7275917926842036
barabasi_9,24.079756403361653,"[1.7014994794268323, 1.8412780364539016, 1.129544381187256, 1.2389303472743913]",1.7014994794268323,1.129544381187256,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,20,36,-0.221492052078247,1,369.0,0.0,0.0,9,barabasi,20,36,3.6,2.1541,0.0651,-0.4045,0.4,30,0.8026585467787217
