n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
6,1.667,0.0,0.5,10,0.9524880501874236,0.4928787246135395,1.4111129192627856,0.5832359718139077,1.159954525643233,2.4952523712116137,1.2148148420887641,2.399288183979197,0.7858129125202776,['barabasi']
6,1.667,0.0,0.667,7,0.6894626270413742,0.36112499453418767,0.9187444915269337,0.47278550968707406,0.9178718020693071,2.2977531954235553,1.8877387048044,2.299947739741287,0.7897945849183349,"['barabasi', 'gnm']"
6,1.667,0.0,0.833,3,0.00029696708380679015,0.0001647055983890613,0.00015469867009470736,5.519728001401736e-06,0.9232487650672224,2.7878452357798174,1.0757731080442083,1.2282080973074636,0.9113314515445382,['barabasi']
6,2.0,0.0,0.5,7,0.6506585798714051,0.15985536105308915,1.4386853594818516,0.3338189470572441,1.5515338836695844,1.9982689396664493,1.3880527957964615,2.1673667924024227,0.7781365385732247,"['regular', 'watts']"
6,2.0,0.25,0.667,1,0.0,0.0,0.0,0.0,1.5087853970715623,1.9416926696470167,0.8159498517255142,1.212499056764937,0.8269509489065967,['watts']
6,2.0,0.278,0.5,1,0.0,0.0,0.0,0.0,-0.3529931407672231,3.1415829865634786,3.1329926852625816,1.9321027609564076,0.8356258379411884,['watts']
6,2.333,0.0,0.5,1,0.0,0.0,0.0,0.0,0.3654208997090812,2.4105670930564007,2.965917141356609,1.880058145077267,0.9000434033902517,['gnm']
6,2.333,0.25,0.5,1,0.0,0.0,0.0,0.0,0.32816191607169454,2.421555213587845,2.931120055619426,1.8341777529798837,0.8598313304585948,['gnm']
6,2.333,0.278,0.5,1,0.0,0.0,0.0,0.0,0.5585632266828864,2.906234807746615,1.8803239642207543,0.9371973959849988,0.8656194193141952,['gnm']
6,2.333,0.417,0.5,1,0.0,0.0,0.0,0.0,2.8630409613990984,2.5981603099888,1.9524128359922166,1.8074047586048156,0.8543722808778208,['gnm']
6,3.0,0.333,0.333,4,0.16792198146166903,0.2423892652071943,0.6503853193160393,0.04041976723488484,3.0576316628589586,1.9773914677707474,2.7758736856225887,1.8990627022570588,0.8646303539228809,['regular']
6,3.0,0.733,0.5,1,0.0,0.0,0.0,0.0,2.9096473139101913,2.635455133734341,1.9613616422865796,1.7731132666342133,0.8665362314121532,['gnm']
6,3.333,0.667,0.333,1,0.0,0.0,0.0,0.0,2.89242635141842,2.1006462005581943,1.8793972705463347,1.5543392847571746,0.8940658242707806,['gnm']
