n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
6,1.667,0.0,0.5,10,0.9524880501874236,0.4928787246135395,1.4111129192627856,0.5832359718139077,1.159954525643233,2.4952523712116137,1.2148148420887641,2.399288183979197,0.7858129125202776,['barabasi']
6,1.667,0.0,0.667,7,0.6894626270413742,0.36112499453418767,0.9187444915269337,0.47278550968707406,0.9178718020693071,2.2977531954235553,1.8877387048044,2.299947739741287,0.7897945849183349,"['barabasi', 'gnm']"
6,1.667,0.0,0.833,3,0.00029696708380679015,0.0001647055983890613,0.00015469867009470736,5.519728001401736e-06,0.9232487650672224,2.7878452357798174,1.0757731080442083,1.2282080973074636,0.9113314515445382,['barabasi']
6,2.0,0.0,0.5,7,0.6506585798714051,0.15985536105308915,1.4386853594818516,0.3338189470572441,1.5515338836695844,1.9982689396664493,1.3880527957964615,2.1673667924024227,0.7781365385732247,"['regular', 'watts']"
6,3.0,0.333,0.333,4,0.16792198146166903,0.2423892652071943,0.6503853193160393,0.04041976723488484,3.0576316628589586,1.9773914677707474,2.7758736856225887,1.8990627022570588,0.8646303539228809,['regular']
6,4.0,0.667,0.333,2,0.001048802584093962,0.00043273008099069515,0.002479680341605847,0.0032041494939415442,2.796208458132183,1.6648747370680161,1.2063207876685664,2.2696164388051683,0.9621435516855854,['regular']
6,4.0,0.728,0.333,3,0.0065370344347678725,0.3984541725597692,0.07307373620211002,0.1976095124803555,2.9395567878791162,2.255991053127357,1.8944315819924693,1.5855926317313702,0.825440962538441,['watts']
6,4.0,0.844,0.333,3,0.10379966505604,0.4539692405343142,0.7112802867245404,0.1401385451079232,3.0093225614153254,2.3732765768547486,2.320277089674832,1.8316145764900567,0.9068768587870485,"['watts', 'gnm']"
6,4.0,0.9,0.333,4,0.0004244428194275537,0.00014768370346310405,0.00048784284080853184,0.0004534442957557454,2.8761784553266327,1.758414049526938,1.9297273356020619,1.0121947856820728,0.9070308599057171,"['watts', 'gnm']"
6,4.333,0.9,0.333,3,0.00026945710468947304,0.0007194809205765785,0.00030837058355207627,0.00019291228252498865,2.95644823791053,2.6193490524145093,1.8874800292311216,1.7206887279400955,0.882501539573746,['gnm']
6,4.667,0.933,0.333,2,0.010105968475967259,0.025346961814201034,1.7982447009492006,0.3540219429287395,1.785877328905845,2.700047419288315,1.5633587267964575,2.702123808411643,0.8982835847451093,['gnm']
